"id","host_id","host_response_time","host_response_rate","host_accept_rate","superhost","n_host_listings","room_type","accommodates","bedrooms","beds","price","min_nights","max_nights","n_reviews","rev_rating","rev_accuracy","rev_clean","rev_checkin","rev_comm","rev_location","rev_value","license","instant_bookable","n_reviews_month","carbon_monoxide_alarm","stove","hot_water","security_cameras","wifi","heating","fire_extinguisher","free_parking","coffee_maker","kitchen","smoke_alarm","dryer","private_entrance","hair_dryer","TV","waterfront","host_greeting","mean_review"
6764212,2793078,NA,NA,NA,"0",1,"Entire home/apt",2,1,1,4,2,5,14,4.85,4.77,4.85,4.92,4.92,4.92,4.46,"0","0",0.2,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4.81285714285714
24628192,186119073,"within an hour","100%","100%","1",2,"Private room",2,1,1,9,2,1125,278,4.83,4.91,4.29,4.99,4.96,4.9,4.79,"0","1",7.01,"0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4.81
24732648,186119073,"within an hour","100%","100%","1",2,"Private room",2,1,1,9,1,1125,242,4.84,4.88,4.29,4.97,4.96,4.92,4.72,"0","1",6.19,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4.79714285714286
20281027,19892142,NA,NA,NA,"0",1,"Entire home/apt",2,1,1,10,2,1125,2,5,5,5,5,5,4.5,4.5,"0","0",0.04,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4.85714285714286
13925001,38835892,NA,NA,NA,"0",1,"Private room",1,1,1,17,4,35,3,4.67,4.67,3,5,5,4.67,4,"0","0",0.05,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4.43
36221425,188577795,"a few days or more","0%","0%","0",4,"Shared room",1,1,1,17,1,7,12,4.42,4.67,4.42,4.58,4.75,4.5,4.5,"0","0",0.47,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4.54857142857143
14368264,47479242,NA,NA,NA,"0",3,"Private room",1,1,1,18,3,8,1,5,4,5,5,5,3,5,"0","0",0.02,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4.57142857142857
11147683,34203893,NA,NA,NA,"0",1,"Private room",1,1,1,19,6,1125,4,4.5,4.5,4.25,4.75,5,4.5,4.75,"0","0",0.06,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4.60714285714286
22873186,68968214,NA,NA,NA,"0",1,"Entire home/apt",1,NA,1,19,3,5,3,4.5,4.5,3,4.5,5,4,5,"0","1",0.08,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4.35714285714286
8494318,33892342,NA,NA,NA,"0",1,"Entire home/apt",2,1,1,20,7,9,2,4.5,4.5,4.5,4.5,4.5,4.5,4,"0","0",0.03,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4.42857142857143
16565978,1446243,NA,NA,NA,"0",1,"Entire home/apt",4,2,2,20,21,30,0,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA
20274773,35176586,NA,NA,NA,"0",1,"Shared room",1,1,1,20,1,1125,11,4.82,4.9,5,5,5,4.44,4.67,"0","0",0.23,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4.83285714285714
