"","id","host_id","host_response_time","host_response_rate","host_accept_rate","superhost","n_host_listings","room_type","bedrooms","beds","price","n_reviews","rev_rating","rev_accuracy","rev_clean","rev_checkin","rev_comm","rev_location","rev_value","license","instant_bookable","waterfront","balcony","kitchen","oven","wifi","tv","coffee_maker","washer","dishwasher","free_parking","fireplace","hot_tub","gym","airco","greeting_host","crib","luggage_dropoff","single_level","changing_table","fire_extinguisher","security_cameras","carbon_monoxide_alarm","private_entry","mean_review"
"1",6764212,2793078,NA,NA,NA,FALSE,1,"Entire home/apt",1,1,4,14,4.85,4.77,4.85,4.92,4.92,4.92,4.46,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4.80666666666667
"2",20281027,19892142,NA,NA,NA,FALSE,1,"Entire home/apt",1,1,10,2,5,5,5,5,5,4.5,4.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,4.83333333333333
"3",13925001,38835892,NA,NA,NA,FALSE,1,"Private room",1,1,17,3,4.67,4.67,3,5,5,4.67,4,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,4.39
"4",11147683,34203893,NA,NA,NA,FALSE,1,"Private room",1,1,19,4,4.5,4.5,4.25,4.75,5,4.5,4.75,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4.625
"5",14368264,47479242,NA,NA,NA,FALSE,3,"Private room",1,1,19,1,5,4,5,5,5,3,5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4.5
"6",22873186,68968214,NA,NA,NA,FALSE,1,"Entire home/apt",NA,1,19,3,4.5,4.5,3,4.5,5,4,5,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4.33333333333333
"7",25355910,711896,"within an hour","100%","43%",FALSE,5,"Entire home/apt",1,0,19,81,4.37,4.48,4.25,4.67,4.83,4.4,4.12,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,4.45833333333333
"8",8494318,33892342,NA,NA,NA,FALSE,1,"Entire home/apt",1,1,20,2,4.5,4.5,4.5,4.5,4.5,4.5,4,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4.41666666666667
"9",20274773,35176586,NA,NA,NA,FALSE,1,"Shared room",1,1,20,11,4.82,4.9,5,5,5,4.44,4.67,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,4.835
"10",44602396,12286226,NA,NA,"100%",FALSE,1,"Private room",1,1,20,4,5,5,4.25,5,4.75,5,4.75,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,4.79166666666667
"11",30391034,126441889,NA,NA,NA,FALSE,1,"Private room",1,1,22,5,4.4,5,4.6,4.8,4.8,4.2,4.4,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4.63333333333333
"12",619662,749611,NA,NA,NA,FALSE,1,"Private room",1,1,25,195,4.84,4.83,4.71,4.92,4.96,4.76,4.73,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,4.81833333333333
"13",22712579,107376360,NA,NA,NA,FALSE,1,"Private room",4,1,25,6,4.67,4.33,4.33,4.33,4.67,4.17,4.5,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4.38833333333333
"14",23957941,59340913,NA,NA,"0%",FALSE,1,"Private room",1,1,25,9,4.78,4.78,4,4.89,5,4.78,4.67,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,4.68666666666667
"15",24201218,38698132,"a few days or more","25%","50%",FALSE,3,"Private room",1,1,25,7,4.57,4.43,4.43,4.57,4.71,4.43,4.43,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,4.5
"16",25502184,2648563,NA,NA,NA,FALSE,1,"Private room",1,1,25,21,4.8,4.95,4.65,4.95,5,4.7,4.7,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4.825
"17",29579619,222560680,NA,NA,NA,FALSE,1,"Entire home/apt",1,1,25,1,4,5,3,5,5,5,3,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,4.33333333333333
"18",39299321,289785585,NA,NA,NA,FALSE,1,"Private room",1,1,25,4,5,5,5,5,5,5,5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5
"19",23200525,39444378,NA,NA,NA,FALSE,1,"Shared room",1,1,26,15,4.87,4.93,5,5,4.87,4.67,4.8,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4.87833333333333
