"","id","host_id","host_response_time","host_response_rate","host_accept_rate","superhost","n_host_listings","room_type","bedrooms","beds","price","n_reviews","rev_rating","rev_accuracy","rev_clean","rev_checkin","rev_comm","rev_location","rev_value","license","instant_bookable","n_reviews_month","balcony","lake_access","waterfront","private_entry","workspace","backyard","beachfront","kitchen","oven","stove","wifi","fridge","iron","bed_linens","tv","dryer","coffee_maker","washer","microwave","shampoo","hot_water","hangers","dishwasher","freezer","heating","free_parking","breakfast","fireplace","hair_dryer","pool","sauna","hot_tub","gym","bbq","airco","greeting_host","crib","high_chair","pets_allow","elevator","single_level","baby_safety_gates","baby_bath","changing_table","baby_monitor","fire_extinguisher","smoke_alarm","security_cameras","carbon_monoxide_alarm","smart_lock","first_aid"
"1",2818,3159,"within an hour","100%","100%",1,1,"Private room",1,2,"$59.00",280,4.89,4.93,5,4.97,4.97,4.68,4.81,1,1,2.86,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1
"2",20168,59484,"within an hour","100%","100%",0,2,"Private room",1,1,"$106.00",339,4.44,4.69,4.79,4.63,4.62,4.87,4.49,1,1,3.64,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"3",25428,56142,NA,NA,"0%",1,2,"Entire home/apt",1,1,"$125.00",5,5,5,5,5,5,5,4.8,0,0,0.11,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
"4",27886,97647,"within an hour","86%","100%",1,1,"Private room",1,1,"$141.00",223,4.95,4.93,4.96,4.95,4.92,4.9,4.8,1,1,2.14,1,1,1,1,1,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0
"5",28871,124245,"within an hour","100%","98%",1,2,"Private room",1,1,"$75.00",353,4.87,4.94,4.89,4.97,4.94,4.97,4.82,1,0,4.59,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"6",29051,124245,"within an hour","100%","98%",1,2,"Private room",1,1,"$55.00",496,4.77,4.87,4.84,4.92,4.91,4.86,4.76,1,0,5.49,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"7",30431,131462,"within an hour","100%","54%",0,2,"Entire home/apt",1,1,"$50.00",9,4.88,4.89,5,5,4.89,4.89,4.78,1,0,0.1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"8",41125,178515,NA,NA,NA,1,1,"Entire home/apt",1,1,"$160.00",89,4.8,4.86,4.74,4.86,4.91,4.85,4.62,0,0,0.75,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"9",43980,65041,"within a few hours","100%","0%",0,1,"Entire home/apt",1,2,"$67.00",61,4.02,3.86,3.48,4.69,4.57,4.69,4.04,0,0,0.52,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
"10",44391,194779,"within an hour","100%","100%",0,1,"Entire home/apt",2,2,"$240.00",41,4.7,4.66,4.44,4.94,4.9,4.66,4.46,1,0,0.63,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"11",47061,211696,"within a day","100%","71%",1,1,"Entire home/apt",2,2,"$140.00",182,4.78,4.78,4.64,4.75,4.89,4.83,4.63,1,0,1.57,0,0,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1
