"","id","host_id","host_response_time","host_response_rate","host_accept_rate","superhost","n_host_listings","room_type","bedrooms","beds","price","n_reviews","rev_rating","rev_accuracy","rev_clean","rev_checkin","rev_comm","rev_location","rev_value","license","instant_bookable","waterfront","balcony","kitchen","oven","wifi","tv","coffee_maker","washer","dishwasher","free_parking","fireplace","hot_tub","gym","airco","greeting_host","crib","luggage_dropoff","single_level","changing_table","fire_extinguisher","security_cameras","carbon_monoxide_alarm","private_entry"
"1",2818,3159,"within an hour","100%","100%",TRUE,1,"Private room",1,2,59,280,4.89,4.93,5,4.97,4.97,4.68,4.81,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
"2",20168,59484,"within an hour","100%","100%",FALSE,2,"Private room",1,1,106,339,4.44,4.69,4.79,4.63,4.62,4.87,4.49,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
"3",25428,56142,NA,NA,"0%",TRUE,2,"Entire home/apt",1,1,125,5,5,5,5,5,5,5,4.8,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"4",27886,97647,"within an hour","86%","100%",TRUE,1,"Private room",1,1,141,223,4.95,4.93,4.96,4.95,4.92,4.9,4.8,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
"5",28871,124245,"within an hour","100%","98%",TRUE,2,"Private room",1,1,75,353,4.87,4.94,4.89,4.97,4.94,4.97,4.82,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
"6",29051,124245,"within an hour","100%","98%",TRUE,2,"Private room",1,1,55,496,4.77,4.87,4.84,4.92,4.91,4.86,4.76,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
"7",30431,131462,"within an hour","100%","54%",FALSE,2,"Entire home/apt",1,1,50,9,4.88,4.89,5,5,4.89,4.89,4.78,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"8",41125,178515,NA,NA,NA,TRUE,1,"Entire home/apt",1,1,160,89,4.8,4.86,4.74,4.86,4.91,4.85,4.62,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"9",43980,65041,"within a few hours","100%","0%",FALSE,1,"Entire home/apt",1,2,67,61,4.02,3.86,3.48,4.69,4.57,4.69,4.04,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"10",44391,194779,"within an hour","100%","100%",FALSE,1,"Entire home/apt",2,2,240,41,4.7,4.66,4.44,4.94,4.9,4.66,4.46,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"11",47061,211696,"within a day","100%","71%",TRUE,1,"Entire home/apt",2,2,140,182,4.78,4.78,4.64,4.75,4.89,4.83,4.63,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
"12",49552,225987,"within a few hours","100%","91%",TRUE,1,"Entire home/apt",2,2,157,375,4.9,4.91,4.89,4.95,4.96,4.98,4.75,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
"13",49790,227530,"within a day","100%",NA,FALSE,0,"Entire home/apt",2,2,250,103,4.93,4.96,4.81,4.91,4.98,4.82,4.73,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
"14",50515,231864,"a few days or more","0%","50%",FALSE,1,"Entire home/apt",3,3,115,17,4.75,4.83,4.83,4.83,4.83,4.5,4.75,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"15",50523,231946,"within an hour","90%","92%",TRUE,1,"Private room",1,1,118,309,4.86,4.9,4.89,4.87,4.85,4.95,4.83,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"16",52490,185836,NA,NA,NA,FALSE,1,"Private room",1,1,75,102,4.62,4.57,4.73,4.8,4.81,4.55,4.47,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"17",53671,247822,NA,NA,NA,FALSE,1,"Private room",1,1,100,309,4.55,4.68,4.55,4.78,4.81,4.7,4.46,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
"18",55621,262846,NA,NA,NA,FALSE,1,"Entire home/apt",2,2,222,32,4.77,4.79,4.72,4.93,5,4.83,4.66,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"19",55868,264178,"within a few hours","100%","0%",FALSE,1,"Entire home/apt",2,2,149,95,4.86,4.91,4.86,4.95,4.98,4.95,4.8,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
"20",62015,301340,"within a few hours","100%","100%",FALSE,1,"Entire home/apt",1,1,120,35,4.91,4.94,4.88,5,4.94,4.67,4.58,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"21",64736,306192,NA,NA,NA,TRUE,1,"Entire home/apt",1,1,189,103,4.9,4.89,4.92,4.98,4.99,4.86,4.81,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
"22",67841,335166,NA,NA,"50%",FALSE,3,"Entire home/apt",1,1,106,16,4.71,5,4.93,4.93,4.64,5,4.71,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"23",70598,339333,NA,NA,"50%",TRUE,1,"Private room",1,1,40,107,4.75,4.83,4.83,4.88,4.83,4.29,4.75,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
"24",75382,399879,NA,NA,"67%",FALSE,3,"Private room",1,2,55,254,4.77,4.83,4.72,4.9,4.87,4.76,4.68,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"25",75444,399879,NA,NA,"67%",FALSE,3,"Private room",1,1,48,324,4.69,4.8,4.69,4.85,4.89,4.69,4.6,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"26",75499,400896,"within a day","50%","54%",FALSE,3,"Entire home/apt",1,2,90,36,4.97,4.97,4.97,4.97,4.91,4.85,4.82,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
"27",76459,400896,"within a day","50%","54%",FALSE,3,"Private room",1,2,90,16,4.87,5,5,5,5,4.93,4.93,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
"28",76668,409579,NA,NA,NA,TRUE,1,"Hotel room",2,2,170,64,4.84,4.9,4.94,4.98,4.95,4.84,4.73,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
"29",80635,436145,"within an hour","98%","100%",FALSE,4,"Private room",1,1,57,224,4.77,4.73,4.81,4.86,4.79,4.95,4.59,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
"30",82482,186729,NA,NA,NA,FALSE,1,"Entire home/apt",NA,2,113,877,4.47,4.56,4.27,4.76,4.7,4.91,4.41,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
"31",82748,450453,"within a few hours","100%","100%",FALSE,2,"Entire home/apt",1,2,249,131,4.79,4.84,4.7,4.89,4.93,4.96,4.76,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"32",85008,65041,"within a few hours","100%","0%",FALSE,1,"Entire home/apt",NA,2,66,11,4.27,4.4,4.2,4.4,4.7,4.6,4.3,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
"33",91535,494281,NA,NA,NA,FALSE,1,"Private room",1,1,95,44,4.77,4.91,4.66,4.91,4.86,4.91,4.73,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"34",97221,195859,"within an hour","100%","100%",TRUE,2,"Private room",1,2,45,198,4.55,4.62,4.87,4.74,4.73,4.26,4.4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
"35",97476,485930,NA,NA,NA,FALSE,1,"Entire home/apt",1,1,99,53,4.88,4.96,4.9,4.94,4.96,4.85,4.85,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"36",104800,544888,"within an hour","100%","100%",FALSE,1,"Entire home/apt",2,1,150,97,4.61,4.67,4.37,4.75,4.84,4.4,4.43,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"37",108890,563208,NA,NA,NA,FALSE,1,"Entire home/apt",1,2,100,3,5,5,5,5,5,5,5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"38",110246,567065,"a few days or more","25%","0%",FALSE,0,"Entire home/apt",2,2,125,4,4,3.67,4,3,3,4,4.67,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"39",130390,642044,NA,NA,NA,FALSE,1,"Private room",1,1,80,29,4.85,4.96,4.96,4.89,4.96,4.85,4.85,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"40",137026,670266,"within a day","86%","0%",FALSE,1,"Entire home/apt",3,3,161,97,4.76,4.79,4.7,4.96,4.87,4.82,4.64,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
"41",141708,689016,NA,NA,NA,FALSE,2,"Entire home/apt",2,2,145,86,4.75,4.78,4.86,4.85,4.96,4.54,4.67,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"42",148132,715549,NA,NA,NA,FALSE,1,"Private room",1,1,37,4,4.75,5,4.75,5,4.75,4.75,4.75,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"43",150634,725727,"a few days or more","0%","0%",FALSE,1,"Private room",1,2,120,61,4.46,4.54,4.18,4.57,4.45,4.71,4.23,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"44",155548,748161,NA,NA,NA,FALSE,1,"Entire home/apt",1,1,150,21,4.76,4.76,4.81,4.81,4.86,4.33,4.52,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"45",162467,776296,"within a few hours","90%","69%",FALSE,1,"Entire home/apt",1,1,145,60,4.75,4.81,4.66,4.9,4.91,4.68,4.51,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
"46",165833,790547,"within an hour","100%","46%",FALSE,1,"Entire home/apt",3,4,112,41,4.85,4.9,4.93,4.8,4.95,4.78,4.8,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
