"","id","host_id","host_response_time","host_response_rate","host_accept_rate","superhost","n_host_listings","room_type","bedrooms","beds","price","n_reviews","rev_rating","rev_accuracy","rev_clean","rev_checkin","rev_comm","rev_location","rev_value","license","instant_bookable","n_reviews_month","balcony","lake_access","waterfront","private_entry","workspace","backyard","beachfront","kitchen","oven","stove","wifi","fridge","iron","bed_linens","tv","dryer","coffee_maker","washer","microwave","shampoo","hot_water","hangers","dishwasher","freezer","heating","free_parking","breakfast","fireplace","hair_dryer","pool","sauna","hot_tub","gym","bbq","airco","greeting_host","crib","high_chair","pets_allow","elevator","single_level","baby_safety_gates","baby_bath","changing_table","baby_monitor","fire_extinguisher","smoke_alarm","security_cameras","carbon_monoxide_alarm","smart_lock","first_aid"
"1",2818,3159,NA,NA,"100%",1,1,"Private room",1,2,"$59.00",278,98,10,10,10,10,9,10,NA,1,1.95,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1
"2",20168,59484,NA,NA,"100%",0,2,"Private room",1,1,"$236.00",339,89,10,10,10,10,10,9,NA,1,2.58,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"3",25428,56142,"within an hour","100%","57%",1,2,"Entire home/apt",1,1,"$125.00",5,100,10,10,10,10,10,10,NA,0,0.14,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
"4",27886,97647,"within an hour","100%","100%",1,1,"Private room",1,1,"$135.00",219,99,10,10,10,10,10,10,NA,1,2.01,1,1,1,1,1,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0
"5",28871,124245,"within an hour","100%","92%",1,2,"Private room",1,1,"$75.00",336,97,10,10,10,10,10,10,NA,0,2.68,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"6",29051,124245,"within an hour","100%","92%",1,2,"Private room",1,1,"$55.00",481,95,10,10,10,10,10,9,NA,0,4.05,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"7",31080,133488,"within an hour","100%","0%",0,1,"Entire home/apt",3,3,"$219.00",32,95,9,10,10,10,9,9,NA,0,0.28,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"8",41125,178515,NA,NA,"70%",1,1,"Entire home/apt",1,1,"$160.00",89,96,10,10,10,10,10,9,NA,0,0.73,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"9",43109,188098,NA,NA,"0%",0,0,"Entire home/apt",2,4,"$211.00",60,98,10,7,9,10,10,9,NA,0,4.31,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"10",43980,65041,"within an hour","100%","0%",0,1,"Entire home/apt",1,2,"$67.00",61,80,8,7,9,9,9,8,NA,0,0.5,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
